date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:04:20	2153/2153	------	404	error ('Not%20Found')	text/html	date:Tue,%2024%20Jan%202023%2011:40:42%20GMT	https://demos.creative-tim.com/robots.txt		(from )
19:04:20	156918/156918	------	200	untouched ('OK')	text/html	date:Thu,%2006%20Oct%202022%2012:57:14%20GMT	https://demos.creative-tim.com/soft-ui-design-system-pro/presentation.html?_ga=2.15061362.519695058.1674476431-246627364.1674476431	/home/sean/websites/SOFT%20UI%20TEMPLATE/demos.creative-tim.com/soft-ui-design-system-pro/presentationb998.html	(from )
19:04:20	156/156	------	400	error ('Bad%20Request')	text/html	date:Tue,%2024%20Jan%202023%2011:40:55%20GMT	https://www.googletagmanager.com/gtm.js?id=	/home/sean/websites/SOFT%20UI%20TEMPLATE/www.googletagmanager.com/gtm.c5445.delayed	(from https://demos.creative-tim.com/soft-ui-design-system-pro/presentation.html?_ga=2.15061362.519695058.1674476431-246627364.1674476431)
19:04:20	125732/125732	------	200	untouched ('OK')	text/html	date:Tue,%2024%20Jan%202023%2011:40:46%20GMT	https://www.creative-tim.com/product/soft-ui-design-system-pro	/home/sean/websites/SOFT%20UI%20TEMPLATE/www.creative-tim.com/product/soft-ui-design-system-pro.html	(from https://demos.creative-tim.com/soft-ui-design-system-pro/presentation.html?_ga=2.15061362.519695058.1674476431-246627364.1674476431)
19:04:20	156925/156925	------	200	untouched ('OK')	text/html	date:Thu,%2006%20Oct%202022%2012:57:14%20GMT	https://demos.creative-tim.com/soft-ui-design-system-pro/presentation.html	/home/sean/websites/SOFT%20UI%20TEMPLATE/demos.creative-tim.com/soft-ui-design-system-pro/presentation.html	(from https://demos.creative-tim.com/soft-ui-design-system-pro/presentation.html?_ga=2.15061362.519695058.1674476431-246627364.1674476431)
19:04:20	984/984	------	200	untouched ('OK')	text/css	date:Tue,%2024%20Jan%202023%2011:40:49%20GMT	https://fonts.googleapis.com/css?family=Open+Sans:300,400,600,700	/home/sean/websites/SOFT%20UI%20TEMPLATE/fonts.googleapis.com/cssff98.css	(from https://demos.creative-tim.com/soft-ui-design-system-pro/presentation.html?_ga=2.15061362.519695058.1674476431-246627364.1674476431)
19:04:21	327/327	------	200	untouched ('OK')	text/plain	date:Fri,%2013%20Jan%202023%2014:17:53%20GMT	https://www.creative-tim.com/robots.txt		(from https://demos.creative-tim.com/soft-ui-design-system-pro/presentation.html?_ga=2.15061362.519695058.1674476431-246627364.1674476431)
19:04:21	106807/106807	------	200	untouched ('OK')	text/html	date:Thu,%2006%20Oct%202022%2012:57:14%20GMT	https://demos.creative-tim.com/soft-ui-design-system-pro/pages/coworking.html	/home/sean/websites/SOFT%20UI%20TEMPLATE/demos.creative-tim.com/soft-ui-design-system-pro/pages/coworking.html	(from https://demos.creative-tim.com/soft-ui-design-system-pro/presentation.html?_ga=2.15061362.519695058.1674476431-246627364.1674476431)
19:04:22	117849/117849	------	200	untouched ('OK')	text/html	date:Thu,%2006%20Oct%202022%2012:57:14%20GMT	https://demos.creative-tim.com/soft-ui-design-system-pro/pages/rental.html	/home/sean/websites/SOFT%20UI%20TEMPLATE/demos.creative-tim.com/soft-ui-design-system-pro/pages/rental.html	(from https://demos.creative-tim.com/soft-ui-design-system-pro/presentation.html?_ga=2.15061362.519695058.1674476431-246627364.1674476431)
19:04:22	108916/108916	------	200	untouched ('OK')	text/html	date:Thu,%2006%20Oct%202022%2012:57:14%20GMT	https://demos.creative-tim.com/soft-ui-design-system-pro/pages/case-study.html	/home/sean/websites/SOFT%20UI%20TEMPLATE/demos.creative-tim.com/soft-ui-design-system-pro/pages/case-study.html	(from https://demos.creative-tim.com/soft-ui-design-system-pro/presentation.html?_ga=2.15061362.519695058.1674476431-246627364.1674476431)
19:04:22	100726/100726	------	200	untouched ('OK')	text/html	date:Thu,%2006%20Oct%202022%2012:57:14%20GMT	https://demos.creative-tim.com/soft-ui-design-system-pro/pages/podcast.html	/home/sean/websites/SOFT%20UI%20TEMPLATE/demos.creative-tim.com/soft-ui-design-system-pro/pages/podcast.html	(from https://demos.creative-tim.com/soft-ui-design-system-pro/presentation.html?_ga=2.15061362.519695058.1674476431-246627364.1674476431)
19:04:22	107135/107135	------	200	untouched ('OK')	text/html	date:Thu,%2006%20Oct%202022%2012:57:14%20GMT	https://demos.creative-tim.com/soft-ui-design-system-pro/pages/about-us.html	/home/sean/websites/SOFT%20UI%20TEMPLATE/demos.creative-tim.com/soft-ui-design-system-pro/pages/about-us.html	(from https://demos.creative-tim.com/soft-ui-design-system-pro/presentation.html?_ga=2.15061362.519695058.1674476431-246627364.1674476431)
19:04:22	147229/147229	------	200	untouched ('OK')	text/html	date:Thu,%2006%20Oct%202022%2012:57:14%20GMT	https://demos.creative-tim.com/soft-ui-design-system-pro/pages/pricing.html	/home/sean/websites/SOFT%20UI%20TEMPLATE/demos.creative-tim.com/soft-ui-design-system-pro/pages/pricing.html	(from https://demos.creative-tim.com/soft-ui-design-system-pro/presentation.html?_ga=2.15061362.519695058.1674476431-246627364.1674476431)
